project_accession	file_name	category	file_size_bytes	ftp_url	local_relative_path	license_status	redistribution_status	download_status
PXD052553	20200306_HF2_Wisgrill_Exp3_Probiotics_Fractions.xlsx	SEARCH	3582326	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/11/PXD052553/20200306_HF2_Wisgrill_Exp3_Probiotics_Fractions.xlsx	raw/proteomics/PRIDE/PXD052553/20200306_HF2_Wisgrill_Exp3_Probiotics_Fractions.xlsx	license_unverified	blocked_until_reviewed	pending
PXD074670	20250311_125649_2503_biofilm_proteotypiconly_Report.tsv	SEARCH	3664745	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/08/PXD074670/20250311_125649_2503_biofilm_proteotypiconly_Report.tsv	raw/proteomics/PRIDE/PXD074670/20250311_125649_2503_biofilm_proteotypiconly_Report.tsv	license_unverified	blocked_until_reviewed	pending
PXD024782	Oxidation__M_Sites.txt	SEARCH	3771569	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD024782/Oxidation__M_Sites.txt	raw/proteomics/PRIDE/PXD024782/Oxidation__M_Sites.txt	license_unverified	blocked_until_reviewed	pending
PXD063731	FragPipe_result.zip	SEARCH	3782572	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PXD063731/FragPipe_result.zip	raw/proteomics/PRIDE/PXD063731/FragPipe_result.zip	license_unverified	blocked_until_reviewed	pending
PXD006913	Saureus_RN4220_EV_interact.prot.xml	SEARCH	3799157	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD006913/Saureus_RN4220_EV_interact.prot.xml	raw/proteomics/PRIDE/PXD006913/Saureus_RN4220_EV_interact.prot.xml	license_unverified	blocked_until_reviewed	pending
PXD069956	Klass_et_al_Proteomics.csv	SEARCH	3808609	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PXD069956/Klass_et_al_Proteomics.csv	raw/proteomics/PRIDE/PXD069956/Klass_et_al_Proteomics.csv	license_unverified	blocked_until_reviewed	pending
PXD066826	Keiser_et_al_PRT1272.csv	SEARCH	3814831	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/12/PXD066826/Keiser_et_al_PRT1272.csv	raw/proteomics/PRIDE/PXD066826/Keiser_et_al_PRT1272.csv	license_unverified	blocked_until_reviewed	pending
PXD039268	S.cerevisiae_and_R._toruloides_mock_community_DIANN_search_report.pr_matrix.tsv	SEARCH	3909375	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD039268/S.cerevisiae_and_R._toruloides_mock_community_DIANN_search_report.pr_matrix.tsv	raw/proteomics/PRIDE/PXD039268/S.cerevisiae_and_R._toruloides_mock_community_DIANN_search_report.pr_matrix.tsv	license_unverified	blocked_until_reviewed	pending
PXD042749	Schmidt_et_al_Corynebacterium_glutamicum_proteomics.csv	SEARCH	3963783	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/09/PXD042749/Schmidt_et_al_Corynebacterium_glutamicum_proteomics.csv	raw/proteomics/PRIDE/PXD042749/Schmidt_et_al_Corynebacterium_glutamicum_proteomics.csv	license_unverified	blocked_until_reviewed	pending
PXD073177	xi_kinesin_total_XL_MS.csv	SEARCH	3986393	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/06/PXD073177/xi_kinesin_total_XL_MS.csv	raw/proteomics/PRIDE/PXD073177/xi_kinesin_total_XL_MS.csv	license_unverified	blocked_until_reviewed	pending
PXD060741	Klass_et_al_Proteomics.csv	SEARCH	3996602	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD060741/Klass_et_al_Proteomics.csv	raw/proteomics/PRIDE/PXD060741/Klass_et_al_Proteomics.csv	license_unverified	blocked_until_reviewed	pending
